deaths,injuries,date,state,url,year
10,8,"October 1, 2015; 7 years ago (2015-10-01) 10:38 – 10:48 a.m. (PDT)",Oregon,/wiki/2015_Umpqua_Community_College_shooting,2015
9,1,"May 17, 2015 (2015-05-17); c. 12:27 p.m. CDT",Texas,/wiki/2015_Waco_shootout,2015
5,0,"September 23, 2016 6:52 p.m. (PDT)",Washington,/wiki/Cascade_Mall_shooting,2016
6,0,"August 20, 2016 (2016-08-20) 4:10 a.m. (CT)",Alabama,/wiki/2016_Citronelle_homicides,2016
2,3,"July 30, 2016",Virginia,/wiki/FreightCar_America_shooting,2016
4,14,"February 25, 2016 c. 4:57 p.m. – 5:23 p.m. (CST)",Kansas,/wiki/Hesston_shootings,2016
6,2,"February 20, 2016 5:42 – 10:24 p.m. (EST)",Texas,/wiki/2016_Kalamazoo_shootings,2016
5,0,March 2016,Kansas,/wiki/2016_Kansas%E2%80%93Missouri_murder_spree,2016
0,4,"Feburary 29, 2016",Ohio,/wiki/Madison_High_School_shooting,2016
3,1,"July 30, 2016 (2016-07-30) c. 12:00 a.m. (PDT)",Washington,/wiki/2016_Mukilteo_shooting,2016
50,58,"June 12, 2016; 6 years ago (2016-06-12) 2:02 a.m. – 5:14 a.m. EDT (UTC−04:00)",Florida,/wiki/Orlando_nightclub_shooting,2016
3,2,"July 11, 2016 c. 2:25 p.m. (ET)",Michigan,/wiki/St._Joseph_courthouse_shooting,2016
5,2,"July 17, 2016 (2016-07-17) 8:42 – c. 8:48 a.m. (CDT)",Louisiana,/wiki/2016_shooting_of_Baton_Rouge_police_officers,2016
6,11,"July 7–8, 2016 8:58 p.m. – 2:30 a.m. (CT)",Texas,/wiki/2016_shooting_of_Dallas_police_officers,2016
2,3,"September 28, 2016 c. 1:44 – c. 2:00 p.m. EST (UTC-05:00)",South Carolina,/wiki/2016_Townville_Elementary_School_shooting,2016
6,3,"March 9, 2016 c. 11:00 p.m.",Pennsylvania,/wiki/2016_Wilkinsburg_shooting,2016
2,6,"June 30, 2017 c. 2:45pm (EDT)",New York,/wiki/Bronx-Lebanon_Hospital_attack,2017
1,8,"September 24, 2017 11:15 a.m.",Tennessee,/wiki/Burnette_Chapel_shooting,2017
2,15,"March 26, 2017 1:30 a.m EDT",Ohio,/wiki/Cincinnati_nightclub_shooting,2017
2,4,"August 28, 2017 4:17 p.m. (MST)",New Mexico,/wiki/Clovis_library_shooting,2017
1,6,"June 14, 2017 7:09 – 7:20 a.m. (EDT)",Virginia,/wiki/Congressional_baseball_shooting,2017
2,6,"December 31, 2017; 5 years ago (2017-12-31) 5:20 - 7:30 AM (UTC-7)",Colorado,/wiki/Copper_Canyon_Apartment_Homes_shooting,2017
5,42,"January 6, 2017 (2017-01-06) 12:55 p.m. (EST)",Florida,/wiki/Fort_Lauderdale_airport_shooting,2017
1,3,"September 3, 2017",Washington,/wiki/Freeman_High_School_shooting,2017
61,413,"October 1, 2017; 5 years ago (2017-10-01) c. 10:05 – 10:15 p.m. (PDT; UTC−07:00)",Nevada,/wiki/2017_Las_Vegas_shooting,2017
0,28,"July 1, 2017 (2017-07-01) c. 2:30am (CST)",Arkansas,/wiki/Little_Rock_nightclub_shooting,2017
8,1,"May 27, 2017 (2017-05-27) 11:30 p.m. (CDT)",Mississippi,/wiki/2017_Mississippi_shootings,2017
6,0,"June 5, 2017",Florida,/wiki/Orlando_factory_shooting,2017
9,1,"September 10, 2017 (2017-09-10) 8 p.m. (CDT)",Texas,/wiki/2017_Plano_shooting,2017
1,7,"January 22, 2017",Texas,/wiki/Rolling_Oaks_Mall_shooting,2017
4,5,"June 14, 2017 8:55 a.m (PST)",California,/wiki/San_Francisco_UPS_shooting,2017
3,2,"June 6, 2017 (2017-06-06) 3:45 p.m.[1]",Utah,"/wiki/Sandy,_Utah_attack",2017
27,22,"November 5, 2017; 5 years ago (2017-11-05) c. 11:20 – c. 11:31 a.m.[1] CST (UTC-06:00)",Texas,/wiki/Sutherland_Springs_church_shooting,2017
4,0,"June 8, 2017 12:57 a.m. – 1:01 a.m. (EDT)",Pennsylvania,/wiki/Eaton_Township_Weis_Markets_shooting,2017
4,3,"September 20, 2018 9:06 a.m. (EDT)",Maryland,"/wiki/Aberdeen,_Maryland_shooting",2018
1,22,"June 17, 2018 2:45 am",New Jersey,/wiki/Art_All_Night_shooting,2018
5,2,"June 28, 2018 ~2:34 p.m. (EDT)",Maryland,/wiki/Capital_Gazette_shooting,2018
4,2,"September 6, 2018 9:06 – 9:10 a.m.",Ohio,/wiki/2018_Cincinnati_shooting,2018
2,10,"October 3, 2018; 4 years ago (2018-10-03) 4:30 pm (GMT)",South Carolina,"/wiki/Florence,_South_Carolina_shooting",2018
3,1,"November 11, 2018",Arizona,"/wiki/Globe,_Arizona_shooting",2018
3,11,"August 26, 2018 c. 1:30 – 1:35 p.m.[1] (EDT)",Florida,/wiki/Jacksonville_Landing_shooting,2018
2,18,"January 23, 2018 7:57 AM[1] (CST)",Kentucky,/wiki/2018_Marshall_County_High_School_shooting,2018
5,6,"January 28, 2018",Pennsylvania,/wiki/Melcroft_shooting,2018
4,4,"April 22, 2018 3:25 a.m. (CDT)",Tennessee,/wiki/Nashville_Waffle_House_shooting,2018
17,17,"February 14, 2018; 5 years ago (February 14, 2018) 2:21 – 2:27 p.m. (EST)",Florida,/wiki/Parkland_high_school_shooting,2018
11,7,"October 27, 2018 (2018-10-27) 9:54 – 11:08 a.m. (EDT)",Pennsylvania,/wiki/Pittsburgh_synagogue_shooting,2018
10,14,"May 18, 2018 (2018-05-18) 7:32 – 8:02 a.m.   (CDT, UTC−6)",Texas,/wiki/2018_Santa_Fe_High_School_shooting,2018
7,0,"May 30–June 4, 2018 05:20 pm EDT",Arizona,/wiki/2018_Scottsdale_shootings,2018
